音檔編號,發音,驗證,起始時間,終止時間
1585,en1,v,1595.53,1595.91
1586,en2,v,1596.43,1596.86
1587,en3,v,1597.34,1597.9
1588,en4,v,1598.36,1598.91
1589,ang1,v,1599.4,1599.78
1590,ang2,v,1600.43,1600.89
1591,ang3,v,1601.34,1601.91
1592,ang4,v,1602.37,1602.89
1593,eng1,v,1603.38,1603.79
1594,eng2,v,1604.32,1604.78
1595,eng3,v,1605.14,1605.73
1596,eng4,v,1606.11,1606.68
1597,er1,v,1607.16,1607.62
1598,er2,v,1608.11,1608.6
1599,er3,v,1609.06,1609.63
1600,er4,v,1610.04,1610.59
1601,yi1,v,1611.04,1611.45
1602,yi2,v,1612.01,1612.47
1603,yi3,v,1612.76,1613.38
1604,yi4,v,1613.77,1614.34
1605,ya1,v,1614.78,1615.25
1606,ya2,v,1615.75,1616.23
1607,ya3,v,1616.69,1617.33
1608,ya4,v,1617.68,1618.31
1609,yo1,v,1618.72,1619.21
1610,yo2,v,1619.7,1620.25
1611,yo3,v,1620.55,1621.24
1612,yo4,v,1621.54,1622.19
1613,ye1,v,1622.6,1623.13
1614,ye2,v,1623.59,1624.16
1615,ye3,v,1624.5,1625.36
1616,ye4,v,1625.54,1626.24
1617,yai1,v,1626.67,1627.18
1618,yai2,v,1627.66,1628.25
1619,yai3,v,1628.57,1629.23
1620,yai4,v,1629.62,1630.25
1621,yao1,v,1630.34,1630.57
1622,yao2,v,1630.67,1631.2
1623,yao3,v,1631.71,1632.26
1624,yao4,v,1632.67,1633.31
1625,you1,v,1633.68,1634.25
1626,you2,v,1634.73,1635.28
1627,you3,v,1635.78,1636.34
1628,you4,v,1636.73,1637.34
1629,yan1,v,1637.75,1638.37
1630,yan2,v,1638.76,1639.28
1631,yan3,v,1639.8,1640.34
1632,yan4,v,1640.72,1641.26
1633,yin1,v,1641.72,1642.26
1634,yin2,v,1642.81,1643.26
1635,yin3,v,1643.77,1644.24
1636,yin4,v,1644.65,1645.3
1637,yiang1,v,1645.62,1646.24
1638,yiang2,v,1646.66,1647.12
1639,yiang3,v,1647.63,1648.14
1640,yiang4,v,1648.43,1649.03
1641,ying1,v,1649.41,1650
1642,ying2,v,1650.42,1650.86
1643,ying3,v,1651.33,1651.82
1644,ying4,v,1652.22,1652.79
1645,wu1,v,1653.19,1653.77
1646,wu2,v,1654.25,1654.67
1647,wu3,v,1655.21,1655.69
1648,wu4,v,1656.1,1656.71
1649,wa1,v,1657,1657.63
1650,wa2,v,1658.03,1658.58
1651,wa3,v,1659.05,1659.59
1652,wa4,v,1659.93,1660.57
1653,wo1,v,1660.87,1661.51
1654,wo2,v,1661.88,1662.43
1655,wo3,v,1662.8,1663.4
1656,wo4,v,1663.82,1664.47
1657,wai1,v,1664.75,1665.34
1658,wai2,v,1665.72,1666.2
1659,wai3,v,1666.64,1667.2
1660,wai4,v,1667.57,1668.18
1661,wei1,v,1668.59,1669.15
1662,wei2,v,1669.62,1670.12
1663,wei3,v,1670.63,1671.15
1664,wei4,v,1671.57,1672.2
1665,wan1,v,1672.56,1673.18
1666,wan2,v,1673.59,1674.04
1667,wan3,v,1674.47,1675.01
1668,wan4,v,1675.4,1676
1669,wen1,v,1676.47,1677.04
1670,wen2,v,1677.46,1677.91
1671,wen3,v,1678.44,1678.95
1672,wen4,v,1679.35,1680.03
1673,wang1,v,1680.4,1680.99
1674,wang2,v,1681.37,1681.83
1675,wang3,v,1682.31,1682.85
1676,wang4,v,1683.21,1683.86
1677,weng1,v,1684.24,1684.84
1678,weng2,v,1685.29,1685.74
1679,weng3,v,1686.27,1686.84
1680,weng4,v,1687.2,1687.78
1681,yu1,v,1688.16,1688.73
1682,yu2,v,1689.24,1689.65
1683,--,,1690.22,1690.7
1684,yu3,v,1691.13,1691.82
1685,yu4,v,1692.19,1692.83
1686,yue1,v,1693.27,1693.79
1687,yue2,v,1694.31,1694.88
1688,yue3,v,1695.35,1696.03
1689,yue4,v,1696.37,1697.03
1690,yuan1,v,1697.51,1697.95
1691,yuan2,v,1698.51,1699.05
1692,yuan3,v,1699.47,1700.1
1693,yuan4,v,1700.51,1701.13
1694,yun1,v,1701.59,1702.06
1695,yun2,v,1702.59,1703.11
1696,yun3,v,1703.51,1704.2
1697,yun4,v,1704.6,1705.17
1698,yong1,v,1705.68,1706.18
1699,yong2,v,1706.72,1707.25
1700,yong3,v,1707.34,1707.56
1701,yong4,v,1707.73,1707.94
1702,(音樂斷片1),,1707.95,1708.21
1703,(音樂斷片2),,1708.32,1712.74
1704,(音樂斷片3),,1712.75,1712.96
1705,念完了(*嘆氣*)，我們剛剛大概花了五十分鐘吧。,,1713.05,1713.54
1706,(音樂斷片4),,1713.72,1715.16
1707,(*嘖*),,1715.2,1715.85
1708,...半天的素材,,1715.98,1722.65
1709,好累... 總之呢，同學們可以把這個影片下載下來，然後去拚拚湊湊(*拼拚湊湊*)把它剪下來，然後ㄅㄚ..再合上我們剛剛的...,,1722.69,1723.88
1710,祝福賀詞,v,1724,1756.18
1711,...就可以把它變成:「祝福 [如何爽大學] 的同學，前程似錦，畢業快樂」，進階使用，如果你今天你朋友要生日你就可以變成:「 [好啦柏翰生日快樂怎麼樣生日禮物我找How哥錄影片給你那我生日要 ㄆㄧ ㄟ ㄙˇ ㄨˇ 呦] 」，再更進階的，如果你今天 你要求婚，你可以把它變成:「 [幹嫁給我啦拜託啦說好了喔ㄅㄅ] 」，就這個樣子，萬用，我之後乾脆商業影片我就再也不拍了，之後廠商找我們就這個影片剪剪拚拚湊湊...,,1756.23,1762.11
1712,...就是我們的HowFun影片了。太棒了，我今天就花了這50分鐘，我之後一勞永逸。觀眾朋友們，前面那一段..是不是你直接就拉過了,,1762.16,1762.63
1713,(音樂斷片5),,1762.68,1763.82
1714,是不是你直接跳過去，我們藏個小彩蛋在裡面,,1763.84,1765.12
1715,你可能有發現你可能沒發現，也可能沒有彩蛋w,,1765.16,1767.91
1716,你可能看完怒退訂閱，我這邊祝福所有的幼稚園國小國中高中大學研究所博士班的同學們,v,1768.09,1774.97
1717,畢業快樂,v,1774.99,1775.92
1718,那就這樣,v,1776.15,1776.98
1719,ㄅㄅ,v,1777.45,1777.93
